Name,MIME Type,File Extension,Details,FileType
Andrew Toolkit,application/andrew-inset,N/A,IANA - Andrew Inset,unknown
Applixware,application/applixware,.aw,Vistasource,unknown
Atom Syndication Format,application/atom+xml,".atom, .xml",RFC 4287,unknown
Atom Publishing Protocol,application/atomcat+xml,.atomcat,RFC 5023,unknown
Atom Publishing Protocol Service Document,application/atomsvc+xml,.atomsvc,RFC 5023,unknown
Voice Browser Call Control,"application/ccxml+xml,",.ccxml,Voice Browser Call Control: CCXML Version 1.0,unknown
Cloud Data Management Interface (CDMI) - Capability,application/cdmi-capability,.cdmia,RFC 6208,unknown
Cloud Data Management Interface (CDMI) - Contaimer,application/cdmi-container,.cdmic,RFC 6209,unknown
Cloud Data Management Interface (CDMI) - Domain,application/cdmi-domain,.cdmid,RFC 6210,unknown
Cloud Data Management Interface (CDMI) - Object,application/cdmi-object,.cdmio,RFC 6211,unknown
Cloud Data Management Interface (CDMI) - Queue,application/cdmi-queue,.cdmiq,RFC 6212,unknown
CU-SeeMe,application/cu-seeme,.cu,White Pine,unknown
Web Distributed Authoring and Versioning,application/davmount+xml,.davmount,RFC 4918,unknown
Data Structure for the Security Suitability of Cryptographic Algorithms,application/dssc+der,.dssc,RFC 5698,unknown
Data Structure for the Security Suitability of Cryptographic Algorithms,application/dssc+xml,.xdssc,RFC 5698,unknown
ECMAScript,application/ecmascript,.es,ECMA-357,unknown
Extensible MultiModal Annotation,application/emma+xml,.emma,EMMA: Extensible MultiModal Annotation markup language,unknown
Electronic Publication,application/epub+zip,.epub,Wikipedia: EPUB,unknown
Efficient XML Interchange,application/exi,.exi,Efficient XML Interchange (EXI) Best Practices,unknown
Portable Font Resource,application/font-tdpfr,.pfr,RFC 3073,unknown
Hyperstudio,application/hyperstudio,.stk,IANA - Hyperstudio,unknown
Internet Protocol Flow Information Export,application/ipfix,.ipfix,RFC 3917,unknown
Java Archive,application/java-archive,.jar,Wikipedia: JAR file format,unknown
Java Serialized Object,application/java-serialized-object,.ser,Java Serialization API,unknown
Java Bytecode File,application/java-vm,.class,Wikipedia: Java Bytecode,unknown
JavaScript,application/javascript,.js,JavaScript,unknown
JavaScript Object Notation (JSON),application/json,.json,Wikipedia: JSON,unknown
Macintosh BinHex 4.0,application/mac-binhex40,.hqx,MacMIME,unknown
Compact Pro,application/mac-compactpro,.cpt,Compact Pro,unknown
Metadata Authority Description Schema,application/mads+xml,.mads,RFC 6207,unknown
MARC Formats,application/marc,.mrc,RFC 2220,unknown
MARC21 XML Schema,application/marcxml+xml,.mrcx,RFC 6207,unknown
Mathematica Notebooks,application/mathematica,.ma,IANA - Mathematica,unknown
Mathematical Markup Language,application/mathml+xml,.mathml,W3C Math Home,unknown
Mbox database files,application/mbox,.mbox,RFC 4155,unknown
Media Server Control Markup Language,application/mediaservercontrol+xml,.mscml,RFC 5022,unknown
Metalink,application/metalink4+xml,.meta4,Wikipedia: Metalink,unknown
Metadata Encoding and Transmission Standard,application/mets+xml,.mets,RFC 6207,unknown
Metadata Object Description Schema,application/mods+xml,.mods,RFC 6207,unknown
MPEG-21,application/mp21,.m21,Wikipedia: MPEG-21,unknown
MPEG4,application/mp4,.mp4,RFC 4337,unknown
Microsoft Word,application/msword,.doc,Wikipedia: Microsoft Word,msword
Material Exchange Format,application/mxf,.mxf,RFC 4539,unknown
Binary Data,application/octet-stream,.bin,,unknown
Office Document Architecture,application/oda,.oda,RFC 2161,unknown
Open eBook Publication Structure,application/oebps-package+xml,.opf,Wikipedia: Open eBook,unknown
Ogg,application/ogg,.ogx,Wikipedia: Ogg,unknown
Microsoft OneNote,application/onenote,.onetoc,MS OneNote 2010,unknown
XML Patch Framework,application/patch-ops-error+xml,.xer,RFC 5261,unknown
Adobe Portable Document Format,application/pdf,.pdf,Adobe PDF,pdf
Pretty Good Privacy,application/pgp-encrypted,.pgp,RFC 2015,unknown
Pretty Good Privacy - Signature,application/pgp-signature,.pgp,RFC 2015,unknown
PICSRules,application/pics-rules,.prf,W3C PICSRules,unknown
PKCS #10 - Certification Request Standard,application/pkcs10,.p10,RFC 2986,unknown
PKCS #7 - Cryptographic Message Syntax Standard,application/pkcs7-mime,.p7m,RFC 2315,unknown
PKCS #7 - Cryptographic Message Syntax Standard,application/pkcs7-signature,.p7s,RFC 2315,unknown
PKCS #8 - Private-Key Information Syntax Standard,application/pkcs8,.p8,RFC 5208,unknown
Attribute Certificate,application/pkix-attr-cert,.ac,RFC 5877,unknown
Internet Public Key Infrastructure - Certificate,application/pkix-cert,.cer,RFC 2585,unknown
Internet Public Key Infrastructure - Certificate Revocation Lists,application/pkix-crl,.crl,RFC 2585,unknown
Internet Public Key Infrastructure - Certification Path,application/pkix-pkipath,.pkipath,RFC 2585,unknown
Internet Public Key Infrastructure - Certificate Management Protocole,application/pkixcmp,.pki,RFC 2585,unknown
Pronunciation Lexicon Specification,application/pls+xml,.pls,RFC 4267,unknown
PostScript,application/postscript,.ai,Wikipedia: PostScript,unknown
CU-Writer,application/prs.cww,.cww,,unknown
Portable Symmetric Key Container,application/pskc+xml,.pskcxml,RFC 6030,unknown
Resource Description Framework,application/rdf+xml,.rdf,RFC 3870,unknown
IMS Networks,application/reginfo+xml,.rif,,unknown
Relax NG Compact Syntax,application/relax-ng-compact-syntax,.rnc,Relax NG,unknown
XML Resource Lists,application/resource-lists+xml,.rl,RFC 4826,unknown
XML Resource Lists Diff,application/resource-lists-diff+xml,.rld,RFC 4826,unknown
XML Resource Lists,application/rls-services+xml,.rs,RFC 4826,unknown
Really Simple Discovery,application/rsd+xml,.rsd,Wikipedia: Really Simple Discovery,unknown
RSS - Really Simple Syndication,application/rss+xml,".rss, .xml",Wikipedia: RSS,unknown
Rich Text Format,application/rtf,.rtf,Wikipedia: Rich Text Format,unknown
Systems Biology Markup Language,application/sbml+xml,.sbml,RFC 3823,unknown
Server-Based Certificate Validation Protocol - Validation Request,application/scvp-cv-request,.scq,RFC 5055,unknown
Server-Based Certificate Validation Protocol - Validation Response,application/scvp-cv-response,.scs,RFC 5055,unknown
Server-Based Certificate Validation Protocol - Validation Policies - Request,application/scvp-vp-request,.spq,RFC 5055,unknown
Server-Based Certificate Validation Protocol - Validation Policies - Response,application/scvp-vp-response,.spp,RFC 5055,unknown
Session Description Protocol,application/sdp,.sdp,RFC 2327,unknown
Secure Electronic Transaction - Payment,application/set-payment-initiation,.setpay,IANA: SET Payment,unknown
Secure Electronic Transaction - Registration,application/set-registration-initiation,.setreg,IANA: SET Registration,unknown
S Hexdump Format,application/shf+xml,.shf,RFC 4194,unknown
Synchronized Multimedia Integration Language,application/smil+xml,.smi,RFC 4536,unknown
SPARQL - Query,application/sparql-query,.rq,W3C SPARQL,unknown
SPARQL - Results,application/sparql-results+xml,.srx,W3C SPARQL,unknown
Speech Recognition Grammar Specification,application/srgs,.gram,W3C Speech Grammar,unknown
Speech Recognition Grammar Specification - XML,application/srgs+xml,.grxml,W3C Speech Grammar,unknown
Search/Retrieve via URL Response Format,application/sru+xml,.sru,RFC 6207,unknown
Speech Synthesis Markup Language,application/ssml+xml,.ssml,W3C Speech Synthesis,unknown
Text Encoding and Interchange,application/tei+xml,.tei,RFC 6129,unknown
Sharing Transaction Fraud Data,application/thraud+xml,.tfi,RFC 5941,unknown
Time Stamped Data Envelope,application/timestamped-data,.tsd,RFC 5955,unknown
3rd Generation Partnership Project - Pic Large,application/vnd.3gpp.pic-bw-large,.plb,3GPP,unknown
3rd Generation Partnership Project - Pic Small,application/vnd.3gpp.pic-bw-small,.psb,3GPP,unknown
3rd Generation Partnership Project - Pic Var,application/vnd.3gpp.pic-bw-var,.pvb,3GPP,unknown
3rd Generation Partnership Project - Transaction Capabilities Application Part,application/vnd.3gpp2.tcap,.tcap,3GPP,unknown
3M Post It Notes,application/vnd.3m.post-it-notes,.pwn,IANA: 3M Post It Notes,unknown
Simply Accounting,application/vnd.accpac.simply.aso,.aso,IANA: Simply Accounting,unknown
Simply Accounting - Data Import,application/vnd.accpac.simply.imp,.imp,IANA: Simply Accounting,unknown
ACU Cobol,application/vnd.acucobol,.acu,IANA: ACU Cobol,unknown
ACU Cobol,application/vnd.acucorp,.atc,IANA: ACU Cobol,unknown
Adobe AIR Application,application/vnd.adobe.air-application-installer-package+zip,.air,Building AIR Applications,unknown
Adobe Flex Project,application/vnd.adobe.fxp,.fxp,IANA: Adobe Flex Project,unknown
Adobe XML Data Package,application/vnd.adobe.xdp+xml,.xdp,Wikipedia: XML Data Package,unknown
Adobe XML Forms Data Format,application/vnd.adobe.xfdf,.xfdf,Wikipedia: XML Portable Document Format,unknown
Ahead AIR Application,application/vnd.ahead.space,.ahead,IANA: Ahead AIR Application,unknown
AirZip FileSECURE,application/vnd.airzip.filesecure.azf,.azf,IANA: AirZip,unknown
AirZip FileSECURE,application/vnd.airzip.filesecure.azs,.azs,IANA: AirZip,unknown
Amazon Kindle eBook format,application/vnd.amazon.ebook,.azw,Kindle Direct Publishing,unknown
Active Content Compression,application/vnd.americandynamics.acc,.acc,IANA: Active Content Compression,unknown
AmigaDE,application/vnd.amiga.ami,.ami,IANA: Amiga,unknown
Android Package Archive,application/vnd.android.package-archive,.apk,Wikipedia: APK File Format,unknown
ANSER-WEB Terminal Client - Certificate Issue,application/vnd.anser-web-certificate-issue-initiation,.cii,IANA: ANSWER-WEB,unknown
ANSER-WEB Terminal Client - Web Funds Transfer,application/vnd.anser-web-funds-transfer-initiation,.fti,IANA: ANSWER-WEB,unknown
Antix Game Player,application/vnd.antix.game-component,.atx,IANA: Antix Game Component,unknown
Apple Installer Package,application/vnd.apple.installer+xml,.mpkg,IANA: Apple Installer,unknown
Multimedia Playlist Unicode,application/vnd.apple.mpegurl,.m3u8,Wikipedia: M3U,unknown
Arista Networks Software Image,application/vnd.aristanetworks.swi,.swi,IANA: Arista Networks Software Image,unknown
Audiograph,application/vnd.audiograph,.aep,IANA: Audiograph,unknown
Blueice Research Multipass,application/vnd.blueice.multipass,.mpm,IANA: Multipass,unknown
BMI Drawing Data Interchange,application/vnd.bmi,.bmi,IANA: BMI,unknown
BusinessObjects,application/vnd.businessobjects,.rep,IANA: BusinessObjects,unknown
CambridgeSoft Chem Draw,application/vnd.chemdraw+xml,.cdxml,IANA: Chem Draw,unknown
Karaoke on Chipnuts Chipsets,application/vnd.chipnuts.karaoke-mmd,.mmd,IANA: Chipnuts Karaoke,unknown
Interactive Geometry Software Cinderella,application/vnd.cinderella,.cdy,IANA: Cinderella,unknown
Claymore Data Files,application/vnd.claymore,.cla,IANA: Claymore,unknown
RetroPlatform Player,application/vnd.cloanto.rp9,.rp9,IANA: RetroPlatform Player,unknown
Clonk Game,application/vnd.clonk.c4group,.c4g,IANA: Clonk,unknown
ClueTrust CartoMobile - Config,application/vnd.cluetrust.cartomobile-config,.c11amc,IANA: CartoMobile,unknown
ClueTrust CartoMobile - Config Package,application/vnd.cluetrust.cartomobile-config-pkg,.c11amz,IANA: CartoMobile,unknown
Sixth Floor Media - CommonSpace,application/vnd.commonspace,.csp,IANA: CommonSpace,unknown
CIM Database,application/vnd.contact.cmsg,.cdbcmsg,IANA: CIM Database,unknown
CosmoCaller,application/vnd.cosmocaller,.cmc,IANA: CosmoCaller,unknown
CrickSoftware - Clicker,application/vnd.crick.clicker,.clkx,IANA: Clicker,unknown
CrickSoftware - Clicker - Keyboard,application/vnd.crick.clicker.keyboard,.clkk,IANA: Clicker,unknown
CrickSoftware - Clicker - Palette,application/vnd.crick.clicker.palette,.clkp,IANA: Clicker,unknown
CrickSoftware - Clicker - Template,application/vnd.crick.clicker.template,.clkt,IANA: Clicker,unknown
CrickSoftware - Clicker - Wordbank,application/vnd.crick.clicker.wordbank,.clkw,IANA: Clicker,unknown
Critical Tools - PERT Chart EXPERT,application/vnd.criticaltools.wbs+xml,.wbs,IANA: Critical Tools,unknown
PosML,application/vnd.ctc-posml,.pml,IANA: PosML,unknown
Adobe PostScript Printer Description File Format,application/vnd.cups-ppd,.ppd,IANA: Cups,unknown
CURL Applet,application/vnd.curl.car,.car,IANA: CURL Applet,unknown
CURL Applet,application/vnd.curl.pcurl,.pcurl,IANA: CURL Applet,unknown
RemoteDocs R-Viewer,application/vnd.data-vision.rdz,.rdz,IANA: Data-Vision,unknown
FCS Express Layout Link,application/vnd.denovo.fcselayout-link,.fe_launch,IANA: FCS Express Layout Link,unknown
New Moon Liftoff/DNA,application/vnd.dna,.dna,IANA: New Moon Liftoff/DNA,unknown
Dolby Meridian Lossless Packing,application/vnd.dolby.mlp,.mlp,IANA: Dolby Meridian Lossless Packing,unknown
DPGraph,application/vnd.dpgraph,.dpg,IANA: DPGraph,unknown
DreamFactory,application/vnd.dreamfactory,.dfac,IANA: DreamFactory,unknown
Digital Video Broadcasting,application/vnd.dvb.ait,.ait,IANA: Digital Video Broadcasting,unknown
Digital Video Broadcasting,application/vnd.dvb.service,.svc,IANA: Digital Video Broadcasting,unknown
DynaGeo,application/vnd.dynageo,.geo,IANA: DynaGeo,unknown
EcoWin Chart,application/vnd.ecowin.chart,.mag,IANA: EcoWin Chart,unknown
Enliven Viewer,application/vnd.enliven,.nml,IANA: Enliven Viewer,unknown
QUASS Stream Player,application/vnd.epson.esf,.esf,IANA: QUASS Stream Player,unknown
QUASS Stream Player,application/vnd.epson.msf,.msf,IANA: QUASS Stream Player,unknown
QuickAnime Player,application/vnd.epson.quickanime,.qam,IANA: QuickAnime Player,unknown
SimpleAnimeLite Player,application/vnd.epson.salt,.slt,IANA: SimpleAnimeLite Player,unknown
QUASS Stream Player,application/vnd.epson.ssf,.ssf,IANA: QUASS Stream Player,unknown
MICROSEC e-Szign›,application/vnd.eszigno3+xml,.es3,IANA: MICROSEC e-Szign›,unknown
EZPix Secure Photo Album,application/vnd.ezpix-album,.ez2,IANA: EZPix Secure Photo Album,unknown
EZPix Secure Photo Album,application/vnd.ezpix-package,.ez3,IANA: EZPix Secure Photo Album,unknown
Forms Data Format,application/vnd.fdf,.fdf,IANA: Forms Data Format,unknown
Digital Siesmograph Networks - SEED Datafiles,application/vnd.fdsn.seed,.seed,IANA: SEED,unknown
NpGraphIt,application/vnd.flographit,.gph,IANA: FloGraphIt,unknown
FluxTime Clip,application/vnd.fluxtime.clip,.ftc,IANA: FluxTime Clip,unknown
FrameMaker Normal Format,application/vnd.framemaker,.fm,IANA: FrameMaker,unknown
Frogans Player,application/vnd.frogans.fnc,.fnc,IANA: Frogans Player,unknown
Frogans Player,application/vnd.frogans.ltf,.ltf,IANA: Frogans Player,unknown
Friendly Software Corporation,application/vnd.fsc.weblaunch,.fsc,IANA: Friendly Software Corporation,unknown
Fujitsu Oasys,application/vnd.fujitsu.oasys,.oas,IANA: Fujitsu Oasys,unknown
Fujitsu Oasys,application/vnd.fujitsu.oasys2,.oa2,IANA: Fujitsu Oasys,unknown
Fujitsu Oasys,application/vnd.fujitsu.oasys3,.oa3,IANA: Fujitsu Oasys,unknown
Fujitsu Oasys,application/vnd.fujitsu.oasysgp,.fg5,IANA: Fujitsu Oasys,unknown
Fujitsu Oasys,application/vnd.fujitsu.oasysprs,.bh2,IANA: Fujitsu Oasys,unknown
Fujitsu - Xerox 2D CAD Data,application/vnd.fujixerox.ddd,.ddd,IANA: Fujitsu DDD,unknown
Fujitsu - Xerox DocuWorks,application/vnd.fujixerox.docuworks,.xdw,IANA: Docuworks,unknown
Fujitsu - Xerox DocuWorks Binder,application/vnd.fujixerox.docuworks.binder,.xbd,IANA: Docuworks Binder,unknown
FuzzySheet,application/vnd.fuzzysheet,.fzs,IANA: FuzySheet,unknown
Genomatix Tuxedo Framework,application/vnd.genomatix.tuxedo,.txd,IANA: Genomatix Tuxedo Framework,unknown
GeoGebra,application/vnd.geogebra.file,.ggb,IANA: GeoGebra,unknown
GeoGebra,application/vnd.geogebra.tool,.ggt,IANA: GeoGebra,unknown
GeoMetry Explorer,application/vnd.geometry-explorer,.gex,IANA: GeoMetry Explorer,unknown
GEONExT and JSXGraph,application/vnd.geonext,.gxt,IANA: GEONExT and JSXGraph,unknown
GeoplanW,application/vnd.geoplan,.g2w,IANA: GeoplanW,unknown
GeospacW,application/vnd.geospace,.g3w,IANA: GeospacW,unknown
GameMaker ActiveX,application/vnd.gmx,.gmx,IANA: GameMaker ActiveX,unknown
Google Earth - KML,application/vnd.google-earth.kml+xml,.kml,IANA: Google Earth,unknown
Google Earth - Zipped KML,application/vnd.google-earth.kmz,.kmz,IANA: Google Earth,unknown
GrafEq,application/vnd.grafeq,.gqf,IANA: GrafEq,unknown
Groove - Account,application/vnd.groove-account,.gac,IANA: Groove,unknown
Groove - Help,application/vnd.groove-help,.ghf,IANA: Groove,unknown
Groove - Identity Message,application/vnd.groove-identity-message,.gim,IANA: Groove,unknown
Groove - Injector,application/vnd.groove-injector,.grv,IANA: Groove,unknown
Groove - Tool Message,application/vnd.groove-tool-message,.gtm,IANA: Groove,unknown
Groove - Tool Template,application/vnd.groove-tool-template,.tpl,IANA: Groove,unknown
Groove - Vcard,application/vnd.groove-vcard,.vcg,IANA: Groove,unknown
Hypertext Application Language,application/vnd.hal+xml,.hal,IANA: HAL,unknown
ZVUE Media Manager,application/vnd.handheld-entertainment+xml,.zmm,IANA: ZVUE Media Manager,unknown
Homebanking Computer Interface (HBCI),application/vnd.hbci,.hbci,IANA: HBCI,unknown
Archipelago Lesson Player,application/vnd.hhe.lesson-player,.les,IANA: Archipelago Lesson Player,unknown
HP-GL/2 and HP RTL,application/vnd.hp-hpgl,.hpgl,IANA: HP-GL/2 and HP RTL,unknown
Hewlett Packard Instant Delivery,application/vnd.hp-hpid,.hpid,IANA: Hewlett Packard Instant Delivery,unknown
Hewlett-Packard's WebPrintSmart,application/vnd.hp-hps,.hps,IANA: Hewlett-Packard's WebPrintSmart,unknown
HP Indigo Digital Press - Job Layout Languate,application/vnd.hp-jlyt,.jlt,IANA: HP Job Layout Language,unknown
HP Printer Command Language,application/vnd.hp-pcl,.pcl,IANA: HP Printer Command Language,unknown
PCL 6 Enhanced (Formely PCL XL),application/vnd.hp-pclxl,.pclxl,IANA: HP PCL XL,unknown
Hydrostatix Master Suite,application/vnd.hydrostatix.sof-data,.sfd-hdstx,IANA: Hydrostatix Master Suite,unknown
3D Crossword Plugin,application/vnd.hzn-3d-crossword,.x3d,IANA: 3D Crossword Plugin,unknown
MiniPay,application/vnd.ibm.minipay,.mpy,IANA: MiniPay,unknown
MO:DCA-P,application/vnd.ibm.modcap,.afp,IANA: MO:DCA-P,unknown
IBM DB2 Rights Manager,application/vnd.ibm.rights-management,.irm,IANA: IBM DB2 Rights Manager,unknown
IBM Electronic Media Management System - Secure Container,application/vnd.ibm.secure-container,.sc,IANA: EMMS,unknown
ICC profile,application/vnd.iccprofile,.icc,IANA: ICC profile,unknown
igLoader,application/vnd.igloader,.igl,IANA: igLoader,unknown
ImmerVision PURE Players,application/vnd.immervision-ivp,.ivp,IANA: ImmerVision PURE Players,unknown
ImmerVision PURE Players,application/vnd.immervision-ivu,.ivu,IANA: ImmerVision PURE Players,unknown
IOCOM Visimeet,application/vnd.insors.igm,.igm,IANA: IOCOM Visimeet,unknown
Intercon FormNet,application/vnd.intercon.formnet,.xpw,IANA: Intercon FormNet,unknown
Interactive Geometry Software,application/vnd.intergeo,.i2g,IANA: Interactive Geometry Software,unknown
Open Financial Exchange,application/vnd.intu.qbo,.qbo,IANA: Open Financial Exchange,unknown
Quicken,application/vnd.intu.qfx,.qfx,IANA: Quicken,unknown
IP Unplugged Roaming Client,application/vnd.ipunplugged.rcprofile,.rcprofile,IANA: IP Unplugged Roaming Client,unknown
