Name,MIME Type,File Extension,Details,FileType
SundaHus WQ,application/vnd.wqd,.wqd,IANA: SundaHus WQ,unknown
Worldtalk,application/vnd.wt.stf,.stf,IANA: Worldtalk,unknown
CorelXARA,application/vnd.xara,.xar,IANA: CorelXARA,unknown
Extensible Forms Description Language,application/vnd.xfdl,.xfdl,IANA: Extensible Forms Description Language,unknown
HV Voice Dictionary,application/vnd.yamaha.hv-dic,.hvd,IANA: HV Voice Dictionary,unknown
HV Script,application/vnd.yamaha.hv-script,.hvs,IANA: HV Script,unknown
HV Voice Parameter,application/vnd.yamaha.hv-voice,.hvp,IANA: HV Voice Parameter,unknown
Open Score Format,application/vnd.yamaha.openscoreformat,.osf,IANA: Open Score Format,unknown
OSFPVG,application/vnd.yamaha.openscoreformat.osfpvg+xml,.osfpvg,IANA: OSFPVG,unknown
SMAF Audio,application/vnd.yamaha.smaf-audio,.saf,IANA: SMAF Audio,unknown
SMAF Phrase,application/vnd.yamaha.smaf-phrase,.spf,IANA: SMAF Phrase,unknown
CustomMenu,application/vnd.yellowriver-custom-menu,.cmp,IANA: CustomMenu,unknown
Z.U.L. Geometry,application/vnd.zul,.zir,IANA: Z.U.L.,unknown
Zzazz Deck,application/vnd.zzazz.deck+xml,.zaz,IANA: Zzazz,unknown
VoiceXML,application/voicexml+xml,.vxml,RFC 4267,unknown
Widget Packaging and XML Configuration,application/widget,.wgt,W3C Widget Packaging and XML Configuration,unknown
WinHelp,application/winhlp,.hlp,Wikipedia: WinHelp,unknown
WSDL - Web Services Description Language,application/wsdl+xml,.wsdl,W3C Web Service Description Language,unknown
Web Services Policy,application/wspolicy+xml,.wspolicy,W3C Web Services Policy,unknown
7-Zip,application/x-7z-compressed,.7z,Wikipedia: 7-Zip,unknown
AbiWord,application/x-abiword,.abw,Wikipedia: AbiWord,unknown
Ace Archive,application/x-ace-compressed,.ace,Wikipedia: ACE,unknown
Apple Disk Image,application/x-apple-diskimage,.dmg,Apple Disk Image,unknown
Adobe (Macropedia) Authorware - Binary File,application/x-authorware-bin,.aab,Wikipedia: Authorware,unknown
Adobe (Macropedia) Authorware - Map,application/x-authorware-map,.aam,Wikipedia: Authorware,unknown
Adobe (Macropedia) Authorware - Segment File,application/x-authorware-seg,.aas,Wikipedia: Authorware,unknown
Binary CPIO Archive,application/x-bcpio,.bcpio,Wikipedia: cpio,unknown
BitTorrent,application/x-bittorrent,.torrent,Wikipedia: BitTorrent,unknown
Bzip Archive,application/x-bzip,.bz,Wikipedia: Bzip,unknown
Bzip2 Archive,application/x-bzip2,.bz2,Wikipedia: Bzip,unknown
Video CD,application/x-cdlink,.vcd,Wikipedia: Video CD,unknown
pIRCh,application/x-chat,.chat,Wikipedia: pIRCh,unknown
Portable Game Notation (Chess Games),application/x-chess-pgn,.pgn,Wikipedia: Portable Game Notationb,unknown
CPIO Archive,application/x-cpio,.cpio,Wikipedia: cpio,unknown
C Shell Script,application/x-csh,.csh,Wikipedia: C Shell,unknown
Debian Package,application/x-debian-package,.deb,Wikipedia: Debian Package,unknown
Adobe Shockwave Player,application/x-director,.dir,Wikipedia: Adobe Shockwave Player,unknown
Doom Video Game,application/x-doom,.wad,Wikipedia: Doom WAD,unknown
Navigation Control file for XML (for ePub),application/x-dtbncx+xml,.ncx,Wikipedia: EPUB,unknown
Digital Talking Book,application/x-dtbook+xml,.dtb,Wikipedia: EPUB,unknown
Digital Talking Book - Resource File,application/x-dtbresource+xml,.res,Digital Talking Book,unknown
Device Independent File Format (DVI),application/x-dvi,.dvi,Wikipedia: DVI,unknown
Glyph Bitmap Distribution Format,application/x-font-bdf,.bdf,Wikipedia: Glyph Bitmap Distribution Format,unknown
Ghostscript Font,application/x-font-ghostscript,.gsf,Wikipedia: Ghostscript,unknown
PSF Fonts,application/x-font-linux-psf,.psf,PSF Fonts,unknown
OpenType Font File,application/x-font-otf,.otf,OpenType Font File,unknown
Portable Compiled Format,application/x-font-pcf,.pcf,Wikipedia: Portable Compiled Format,unknown
Server Normal Format,application/x-font-snf,.snf,Wikipedia: Server Normal Format,unknown
TrueType Font,application/x-font-ttf,.ttf,Wikipedia: TrueType,unknown
PostScript Fonts,application/x-font-type1,.pfa,Wikipedia: PostScript Fonts,unknown
Web Open Font Format,application/x-font-woff,.woff,Wikipedia: Web Open Font Format,unknown
FutureSplash Animator,application/x-futuresplash,.spl,Wikipedia: FutureSplash Animator,unknown
Gnumeric,application/x-gnumeric,.gnumeric,Wikipedia: Gnumeric,unknown
GNU Tar Files,application/x-gtar,.gtar,GNU Tar,unknown
Hierarchical Data Format,application/x-hdf,.hdf,Wikipedia: Hierarchical Data Format,unknown
Java Network Launching Protocol,application/x-java-jnlp-file,.jnlp,Wikipedia: Java Web Start,unknown
LaTeX,application/x-latex,.latex,Wikipedia: LaTeX,unknown
Mobipocket,application/x-mobipocket-ebook,.prc,Wikipedia: Mobipocket,unknown
Microsoft ClickOnce,application/x-ms-application,.application,Wikipedia: ClickOnce,unknown
Microsoft Windows Media Player Download Package,application/x-ms-wmd,.wmd,Wikipedia: Windows Media Player,unknown
Microsoft Windows Media Player Skin Package,application/x-ms-wmz,.wmz,Wikipedia: Windows Media Player,unknown
Microsoft XAML Browser Application,application/x-ms-xbap,.xbap,Wikipedia: XAML Browser,unknown
Microsoft Access,application/x-msaccess,.mdb,Wikipedia: Microsoft Access,unknown
Microsoft Office Binder,application/x-msbinder,.obd,Wikipedia: Microsoft Shared Tools,unknown
Microsoft Information Card,application/x-mscardfile,.crd,Wikipedia: Information Card,unknown
Microsoft Clipboard Clip,application/x-msclip,.clp,Wikipedia: Clipboard,unknown
Microsoft Application,application/x-msdownload,.exe,Wikipedia: EXE,unknown
Microsoft MediaView,application/x-msmediaview,.mvb,Windows Help,unknown
Microsoft Windows Metafile,application/x-msmetafile,.wmf,Wikipedia: Windows Metafile,unknown
Microsoft Money,application/x-msmoney,.mny,Wikipedia: Microsoft Money,unknown
Microsoft Publisher,application/x-mspublisher,.pub,Wikipedia: Microsoft Publisher,unknown
Microsoft Schedule+,application/x-msschedule,.scd,Wikipedia: Microsoft Schedule Plus,unknown
Microsoft Windows Terminal Services,application/x-msterminal,.trm,Wikipedia: Terminal Server,unknown
Microsoft Wordpad,application/x-mswrite,.wri,Wikipedia: Wordpad,unknown
Network Common Data Form (NetCDF),application/x-netcdf,.nc,Wikipedia: NetCDF,unknown
PKCS #12 - Personal Information Exchange Syntax Standard,application/x-pkcs12,.p12,RFC 2986,unknown
PKCS #7 - Cryptographic Message Syntax Standard (Certificates),application/x-pkcs7-certificates,.p7b,RFC 2986,unknown
PKCS #7 - Cryptographic Message Syntax Standard (Certificate Request Response),application/x-pkcs7-certreqresp,.p7r,RFC 2986,unknown
RAR Archive,application/x-rar-compressed,.rar,Wikipedia: RAR,unknown
Bourne Shell Script,application/x-sh,.sh,Wikipedia: Bourne Shell,unknown
Shell Archive,application/x-shar,.shar,Wikipedia: Shell Archie,unknown
Adobe Flash,application/x-shockwave-flash,.swf,Wikipedia: Adobe Flash,unknown
Microsoft Silverlight,application/x-silverlight-app,.xap,Wikipedia: Silverlight,unknown
Stuffit Archive,application/x-stuffit,.sit,Wikipedia: Stuffit,unknown
Stuffit Archive,application/x-stuffitx,.sitx,Wikipedia: Stuffit,unknown
System V Release 4 CPIO Archive,application/x-sv4cpio,.sv4cpio,Wikipedia: pax,unknown
System V Release 4 CPIO Checksum Data,application/x-sv4crc,.sv4crc,Wikipedia: pax,unknown
Tar File (Tape Archive),application/x-tar,.tar,Wikipedia: Tar,unknown
Tcl Script,application/x-tcl,.tcl,Wikipedia: Tcl,unknown
TeX,application/x-tex,.tex,Wikipedia: TeX,unknown
TeX Font Metric,application/x-tex-tfm,.tfm,Wikipedia: TeX Font Metric,unknown
GNU Texinfo Document,application/x-texinfo,.texinfo,Wikipedia: Texinfo,unknown
Ustar (Uniform Standard Tape Archive),application/x-ustar,.ustar,Wikipedia: Ustar,unknown
WAIS Source,application/x-wais-source,.src,YoLinux,unknown
X.509 Certificate,application/x-x509-ca-cert,.der,Wikipedia: X.509,unknown
Xfig,application/x-xfig,.fig,Wikipedia: Xfig,unknown
XPInstall - Mozilla,application/x-xpinstall,.xpi,Wikipedia: XPI,unknown
XML Configuration Access Protocol - XCAP Diff,application/xcap-diff+xml,.xdf,Wikipedia: XCAP,unknown
XML Encryption Syntax and Processing,application/xenc+xml,.xenc,W3C XML Encryption Syntax and Processing,unknown
XHTML - The Extensible HyperText Markup Language,application/xhtml+xml,.xhtml,W3C XHTML,unknown
XML - Extensible Markup Language,application/xml,.xml,W3C XML,unknown
Document Type Definition,application/xml-dtd,.dtd,W3C DTD,unknown
XML-Binary Optimized Packaging,application/xop+xml,.xop,W3C XOP,unknown
XML Transformations,application/xslt+xml,.xslt,W3C XSLT,unknown
XSPF - XML Shareable Playlist Format,application/xspf+xml,.xspf,XML Shareable Playlist Format,unknown
MXML,application/xv+xml,.mxml,Wikipedia: MXML,unknown
YANG Data Modeling Language,application/yang,.yang,Wikipedia: YANG,unknown
YIN (YANG - XML),application/yin+xml,.yin,Wikipedia: YANG,unknown
Zip Archive,application/zip,.zip,Wikipedia: Zip,unknown
Adaptive differential pulse-code modulation,audio/adpcm,.adp,Wikipedia: ADPCM,audio
Sun Audio - Au file format,audio/basic,.au,Wikipedia: Sun audio,audio
MIDI - Musical Instrument Digital Interface,audio/midi,.mid,Wikipedia: MIDI,audio
MPEG-4 Audio,audio/mp4,.mp4a,Wikipedia: MP4A,audio
MPEG Audio,audio/mpeg,.mpga,Wikipedia: MPGA,audio
Ogg Audio,audio/ogg,.oga,Wikipedia: Ogg,audio
DECE Audio,audio/vnd.dece.audio,.uva,IANA: Dece Audio,audio
Digital Winds Music,audio/vnd.digital-winds,.eol,IANA: Digital Winds,audio
DRA Audio,audio/vnd.dra,.dra,IANA: DRA,audio
DTS Audio,audio/vnd.dts,.dts,IANA: DTS,audio
DTS High Definition Audio,audio/vnd.dts.hd,.dtshd,IANA: DTS HD,audio
Lucent Voice,audio/vnd.lucent.voice,.lvp,IANA: Lucent Voice,audio
Microsoft PlayReady Ecosystem,audio/vnd.ms-playready.media.pya,.pya,IANA: Microsoft PlayReady Ecosystem,audio
Nuera ECELP 4800,audio/vnd.nuera.ecelp4800,.ecelp4800,IANA: ECELP 4800,audio
Nuera ECELP 7470,audio/vnd.nuera.ecelp7470,.ecelp7470,IANA: ECELP 7470,audio
Nuera ECELP 9600,audio/vnd.nuera.ecelp9600,.ecelp9600,IANA: ECELP 9600,audio
Hit'n'Mix,audio/vnd.rip,.rip,IANA: Hit'n'Mix,audio
Open Web Media Project - Audio,audio/webm,.weba,WebM Project,audio
Advanced Audio Coding (AAC),audio/x-aac,.aac,Wikipedia: AAC,audio
Audio Interchange File Format,audio/x-aiff,.aif,Wikipedia: Audio Interchange File Format,audio
M3U (Multimedia Playlist),audio/x-mpegurl,.m3u,Wikipedia: M3U,audio
Microsoft Windows Media Audio Redirector,audio/x-ms-wax,.wax,Windows Media Metafiles,audio
Microsoft Windows Media Audio,audio/x-ms-wma,.wma,Wikipedia: Windows Media Audio,audio
Real Audio Sound,audio/x-pn-realaudio,.ram,Wikipedia: RealPlayer,audio
Real Audio Sound,audio/x-pn-realaudio-plugin,.rmp,Wikipedia: RealPlayer,audio
Waveform Audio File Format (WAV),audio/x-wav,.wav,Wikipedia: WAV,audio
ChemDraw eXchange file,chemical/x-cdx,.cdx,ChemDraw eXchange file,unknown
Crystallographic Interchange Format,chemical/x-cif,.cif,Crystallographic Interchange Format,unknown
CrystalMaker Data Format,chemical/x-cmdf,.cmdf,CrystalMaker Data Format,unknown
Chemical Markup Language,chemical/x-cml,.cml,Wikipedia: Chemical Markup Language,unknown
Chemical Style Markup Language,chemical/x-csml,.csml,Wikipedia: Chemical Style Markup Language,unknown
XYZ File Format,chemical/x-xyz,.xyz,Wikipedia: XYZ File Format,unknown
Bitmap Image File,image/bmp,.bmp,Wikipedia: BMP File Format,image
Computer Graphics Metafile,image/cgm,.cgm,Wikipedia: Computer Graphics Metafile,image
G3 Fax Image,image/g3fax,.g3,Wikipedia: G3 Fax Image,image
Graphics Interchange Format,image/gif,.gif,Wikipedia: Graphics Interchange Format,image
Image Exchange Format,image/ief,.ief,RFC 1314,image
JPEG Image,image/jpeg,".jpeg, .jpg",RFC 1314,image
OpenGL Textures (KTX),image/ktx,.ktx,KTX File Format,image
JPEG Image (Progressive),image/pjpeg,.pjpeg,JPEG image compression FAQ,image
Portable Network Graphics (PNG),image/png,.png,RFC 2083,image
BTIF,image/prs.btif,.btif,IANA: BTIF,image
Scalable Vector Graphics (SVG),image/svg+xml,.svg,Wikipedia: SVG,image
Tagged Image File Format,image/tiff,.tiff,Wikipedia: TIFF,image
Photoshop Document,image/vnd.adobe.photoshop,.psd,Wikipedia: Photoshop Document,image
DECE Graphic,image/vnd.dece.graphic,.uvi,IANA: DECE Graphic,image
DjVu,image/vnd.djvu,.djvu,Wikipedia: DjVu,image
Close Captioning - Subtitle,image/vnd.dvb.subtitle,.sub,Wikipedia: Closed Captioning,image
DWG Drawing,image/vnd.dwg,.dwg,Wikipedia: DWG,image
AutoCAD DXF,image/vnd.dxf,.dxf,Wikipedia: AutoCAD DXF,image
FastBid Sheet,image/vnd.fastbidsheet,.fbs,IANA: FastBid Sheet,image
FlashPix,image/vnd.fpx,.fpx,IANA: FPX,image
FAST Search & Transfer ASA,image/vnd.fst,.fst,IANA: FAST Search & Transfer ASA,image
EDMICS 2000,image/vnd.fujixerox.edmics-mmr,.mmr,IANA: EDMICS 2000,image
EDMICS 2000,image/vnd.fujixerox.edmics-rlc,.rlc,IANA: EDMICS 2000,image
Microsoft Document Imaging Format,image/vnd.ms-modi,.mdi,Wikipedia: Microsoft Document Image Format,image
FlashPix,image/vnd.net-fpx,.npx,IANA: FPX,image
WAP Bitamp (WBMP),image/vnd.wap.wbmp,.wbmp,IANA: WBMP,image
eXtended Image File Format (XIFF),image/vnd.xiff,.xif,IANA: XIFF,image
WebP Image,image/webp,.webp,Wikipedia: WebP,image
JPEG Image (Citrix client),image/x-citrix-jpeg,".jpeg, .jpg",RFC 1314,image
Portable Network Graphics (PNG) (Citrix client),image/x-citrix-png,.png,RFC 2083,image
CMU Image,image/x-cmu-raster,.ras,,image
Corel Metafile Exchange (CMX),image/x-cmx,.cmx,Wikipedia: CorelDRAW,image
FreeHand MX,image/x-freehand,.fh,Wikipedia: Macromedia Freehand,image
Icon Image,image/x-icon,.ico,Wikipedia: ICO File Format,image
PCX Image,image/x-pcx,.pcx,Wikipedia: PCX,image
PICT Image,image/x-pict,.pic,Wikipedia: PICT,image
Portable Network Graphics (PNG) (x-token),image/x-png,.png,RFC 2083,image
Portable Anymap Image,image/x-portable-anymap,.pnm,Wikipedia: Netpbm Format,image
Portable Bitmap Format,image/x-portable-bitmap,.pbm,Wikipedia: Netpbm Format,image
Portable Graymap Format,image/x-portable-graymap,.pgm,Wikipedia: Netpbm Format,image
Portable Pixmap Format,image/x-portable-pixmap,.ppm,Wikipedia: Netpbm Format,image
Silicon Graphics RGB Bitmap,image/x-rgb,.rgb,RGB Image Format,image
X BitMap,image/x-xbitmap,.xbm,Wikipedia: X BitMap,image
X PixMap,image/x-xpixmap,.xpm,Wikipedia: X PixMap,image
X Window Dump,image/x-xwindowdump,.xwd,Wikipedia: X Window Dump,image
Email Message,message/rfc822,.eml,RFC 2822,unknown
Initial Graphics Exchange Specification (IGES),model/iges,.igs,Wikipedia: IGES,unknown
Mesh Data Type,model/mesh,.msh,RFC 2077,unknown
COLLADA,model/vnd.collada+xml,.dae,IANA: COLLADA,unknown
Autodesk Design Web Format (DWF),model/vnd.dwf,.dwf,Wikipedia: Design Web Format,unknown
Geometric Description Language (GDL),model/vnd.gdl,.gdl,IANA: GDL,unknown
Gen-Trix Studio,model/vnd.gtw,.gtw,IANA: GTW,unknown
Virtue MTS,model/vnd.mts,.mts,IANA: MTS,unknown
Virtue VTU,model/vnd.vtu,.vtu,IANA: VTU,unknown
Virtual Reality Modeling Language,model/vrml,.wrl,Wikipedia: VRML,unknown
iCalendar,text/calendar,.ics,Wikipedia: iCalendar,text
Cascading Style Sheets (CSS),text/css,.css,Wikipedia: CSS,text
Comma-Seperated Values,text/csv,.csv,Wikipedia: CSV,text
HyperText Markup Language (HTML),text/html,.html,Wikipedia: HTML,text
Notation3,text/n3,.n3,Wikipedia: Notation3,text
Text File,text/plain,.txt,Wikipedia: Text File,text
BAS Partitur Format,text/plain-bas,.par,Phonetik BAS,text
PRS Lines Tag,text/prs.lines.tag,.dsc,IANA: PRS Lines Tag,text
Rich Text Format (RTF),text/richtext,.rtx,Wikipedia: Rich Text Format,text
Standard Generalized Markup Language (SGML),text/sgml,.sgml,Wikipedia: SGML,text
Tab Seperated Values,text/tab-separated-values,.tsv,Wikipedia: TSV,text
troff,text/troff,.t,Wikipedia: troff,text
Turtle (Terse RDF Triple Language),text/turtle,.ttl,Wikipedia: Turtle,text
URI Resolution Services,text/uri-list,.uri,RFC 2483,text
Curl - Applet,text/vnd.curl,.curl,Curl Applet,text
Curl - Detached Applet,text/vnd.curl.dcurl,.dcurl,Curl Detached Applet,text
Curl - Manifest File,text/vnd.curl.mcurl,.mcurl,Curl Manifest File,text
Curl - Source Code,text/vnd.curl.scurl,.scurl,Curl Source Code,text
mod_fly / fly.cgi,text/vnd.fly,.fly,IANA: Fly,text
FLEXSTOR,text/vnd.fmi.flexstor,.flx,IANA: FLEXSTOR,text
Graphviz,text/vnd.graphviz,.gv,IANA: Graphviz,text
In3D - 3DML,text/vnd.in3d.3dml,.3dml,IANA: In3D,text
In3D - 3DML,text/vnd.in3d.spot,.spot,IANA: In3D,text
J2ME App Descriptor,text/vnd.sun.j2me.app-descriptor,.jad,IANA: J2ME App Descriptor,text
Wireless Markup Language (WML),text/vnd.wap.wml,.wml,Wikipedia: WML,text
Wireless Markup Language Script (WMLScript),text/vnd.wap.wmlscript,.wmls,Wikipedia: WMLScript,text
Assembler Source File,text/x-asm,.s,Wikipedia: Assembly,text
C Source File,text/x-c,.c,Wikipedia: C Programming Language,text
Fortran Source File,text/x-fortran,.f,Wikipedia: Fortran,text
Java Source File,"text/x-java-source,java",.java,Wikipedia: Java,text
Pascal Source File,text/x-pascal,.p,Wikipedia: Pascal,text
Setext,text/x-setext,.etx,Wikipedia: Setext,text
UUEncode,text/x-uuencode,.uu,Wikipedia: UUEncode,text
vCalendar,text/x-vcalendar,.vcs,Wikipedia: vCalendar,text
vCard,text/x-vcard,.vcf,Wikipedia: vCard,text
YAML Ain't Markup Language / Yet Another Markup Language,text/yaml,.yaml,YAML: YAML Ain't Markup Language,text
3GP,video/3gpp,.3gp,Wikipedia: 3GP,video
3GP2,video/3gpp2,.3g2,Wikipedia: 3G2,video
H.261,video/h261,.h261,Wikipedia: H.261,video
H.263,video/h263,.h263,Wikipedia: H.263,video
H.264,video/h264,.h264,Wikipedia: H.264,video
JPGVideo,video/jpeg,.jpgv,RFC 3555,video
JPEG 2000 Compound Image File Format,video/jpm,.jpm,IANA: JPM,video
Motion JPEG 2000,video/mj2,.mj2,IANA: MJ2,video
MPEG-4 Video,video/mp4,.mp4,Wikipedia: MP4,video
MPEG Video,video/mpeg,.mpeg,Wikipedia: MPEG,video
Ogg Video,video/ogg,.ogv,Wikipedia: Ogg,video
Quicktime Video,video/quicktime,.qt,Wikipedia: Quicktime,video
DECE High Definition Video,video/vnd.dece.hd,.uvh,IANA: DECE HD Video,video
DECE Mobile Video,video/vnd.dece.mobile,.uvm,IANA: DECE Mobile Video,video
DECE PD Video,video/vnd.dece.pd,.uvp,IANA: DECE PD Video,video
DECE SD Video,video/vnd.dece.sd,.uvs,IANA: DECE SD Video,video
DECE Video,video/vnd.dece.video,.uvv,IANA: DECE Video,video
FAST Search & Transfer ASA,video/vnd.fvt,.fvt,IANA: FVT,video
MPEG Url,video/vnd.mpegurl,.mxu,IANA: MPEG Url,video
Microsoft PlayReady Ecosystem Video,video/vnd.ms-playready.media.pyv,.pyv,IANA: Microsoft PlayReady Ecosystem,video
DECE MP4,video/vnd.uvvu.mp4,.uvu,IANA: DECE MP4,video
Vivo,video/vnd.vivo,.viv,IANA: Vivo,video
Open Web Media Project - Video,video/webm,.webm,WebM Project,video
Flash Video,video/x-f4v,.f4v,Wikipedia: Flash Video,video
FLI/FLC Animation Format,video/x-fli,.fli,FLI/FLC Animation Format,video
Flash Video,video/x-flv,.flv,Wikipedia: Flash Video,video
M4v,video/x-m4v,.m4v,Wikipedia: M4v,video
Microsoft Advanced Systems Format (ASF),video/x-ms-asf,.asf,Wikipedia: Advanced Systems Format (ASF),video
Microsoft Windows Media,video/x-ms-wm,.wm,Wikipedia: Advanced Systems Format (ASF),video
Microsoft Windows Media Video,video/x-ms-wmv,.wmv,Wikipedia: Advanced Systems Format (ASF),video
Microsoft Windows Media Audio/Video Playlist,video/x-ms-wmx,.wmx,Wikipedia: Advanced Systems Format (ASF),video
Microsoft Windows Media Video Playlist,video/x-ms-wvx,.wvx,Wikipedia: Advanced Systems Format (ASF),video
Audio Video Interleave (AVI),video/x-msvideo,.avi,Wikipedia: AVI,video
SGI Movie,video/x-sgi-movie,.movie,SGI Facts,video
CoolTalk,x-conference/x-cooltalk,.ice,Wikipedia: CoolTalk,unknown
